vectorizer,FS,classifier,resampling,accuracy,precision,recall,f1
BOW,None,logR,None,0.9232192414431082,0.5589560028145996,0.4381128510794063,0.4871981421292809
BOW,None,DT,None,0.9025901942645699,0.4533246650709703,0.3936014046553041,0.408581857899067
BOW,None,SVM,None,0.9263644773358002,0.6215670875215069,0.4060381656508441,0.47766407935954547
BOW,None,RF,None,0.9200740055504163,0.5920034944306335,0.3725945173425261,0.4295054956266829
BOW,None,ADA,None,0.9111933395004626,0.4918370318639279,0.3863687941725493,0.42025005350675837
BOW,None,logR,Und,0.8245143385753931,0.34130491400002405,0.645851081594748,0.4264248050659516
BOW,None,DT,Und,0.7437557816836263,0.24856165106511297,0.5700659790261482,0.3219298341062208
BOW,None,SVM,Und,0.7833487511563367,0.28238362665359307,0.6318134775519841,0.3704127093582322
BOW,None,RF,Und,0.7636447733580018,0.2989263764171041,0.602280184365023,0.369810698479394
BOW,None,ADA,Und,0.7644773358001851,0.26781438300954136,0.575333984851561,0.3378438597959555
BOW,None,logR,Ove,0.8987974098057354,0.4262220021554542,0.502174227397175,0.4574421289405042
BOW,None,DT,Ove,0.8285846438482887,0.28276936539017855,0.5066448460924021,0.34489499943539786
BOW,None,SVM,Ove,0.9037927844588344,0.4642727638525187,0.26284330913963266,0.3196662818592427
BOW,None,RF,Ove,0.8582793709528215,0.32590781644892947,0.5654835403725307,0.39878716127184377
BOW,None,ADA,Ove,0.8361702127659575,0.2872533802956758,0.5057134419312658,0.35083861116700865
TF_IDF,None,logR,None,0.9263644773358002,0.6261144380566138,0.4007968307776149,0.47482625493254577
TF_IDF,None,DT,None,0.9039777983348751,0.4082213471276386,0.3530666548321017,0.37582163146475733
TF_IDF,None,SVM,None,0.9172062904717854,0.5241767091536085,0.46511474778321826,0.4885982763066989
TF_IDF,None,RF,None,0.922109158186864,0.5941723204403763,0.3090823153537811,0.3822610848537351
TF_IDF,None,ADA,None,0.9158186864014801,0.5199105410613855,0.3506215688158092,0.40861275013274373
TF_IDF,None,logR,Und,0.8382053654024052,0.359021429236367,0.664077319795809,0.447991403655775
TF_IDF,None,DT,Und,0.7222016651248844,0.24190166246293118,0.5654342691600868,0.3146848631338553
TF_IDF,None,SVM,Und,0.8258094357076781,0.3296615427249561,0.6408421029299711,0.4198317772851381
TF_IDF,None,RF,Und,0.7823311748381129,0.3033620912459641,0.6038478549006615,0.3804847026940853
TF_IDF,None,ADA,Und,0.7588344125809435,0.25639599253039275,0.5647934627134259,0.3306605109069941
TF_IDF,None,logR,Ove,0.911840888066605,0.4993713416613448,0.4684554021954014,0.47620325822703136
TF_IDF,None,DT,Ove,0.8837187789084181,0.3899022398074447,0.4683663522911084,0.42213112659898816
TF_IDF,None,SVM,Ove,0.9264569842738205,0.7008780650286371,0.35080994305456686,0.43875068840500825
TF_IDF,None,RF,Ove,0.9172987974098057,0.5747239434389267,0.44784996936383775,0.47917484603129673
TF_IDF,None,ADA,Ove,0.8985198889916743,0.4230357570126714,0.45647934961814424,0.4344433781094445
