vectorizer,FS,classifier,resampling,accuracy,precision,recall,f1
BOW,None,logR,None,0.9232192414431082,0.5589560028145996,0.4381128510794063,0.4871981421292809
BOW,None,DT,None,0.9025901942645699,0.4533246650709703,0.3936014046553041,0.408581857899067
BOW,None,SVM,None,0.9263644773358002,0.6215670875215069,0.4060381656508441,0.47766407935954547
BOW,None,RF,None,0.9141535615171138,0.5375127829807156,0.38943868960755945,0.4306800586758251
BOW,None,ADA,None,0.9111933395004626,0.4918370318639279,0.3863687941725493,0.42025005350675837
BOW,None,logR,Und,0.8245143385753931,0.34130491400002405,0.645851081594748,0.4264248050659516
BOW,None,DT,Und,0.7437557816836263,0.24856165106511297,0.5700659790261482,0.3219298341062208
BOW,None,SVM,Und,0.7833487511563367,0.28238362665359307,0.6318134775519841,0.3704127093582322
BOW,None,RF,Und,0.7636447733580018,0.2989263764171041,0.602280184365023,0.369810698479394
BOW,None,ADA,Und,0.7644773358001851,0.26781438300954136,0.575333984851561,0.3378438597959555
BOW,None,logR,Ove,0.8987974098057354,0.4262220021554542,0.502174227397175,0.4574421289405042
BOW,None,DT,Ove,0.8285846438482887,0.28276936539017855,0.5066448460924021,0.34489499943539786
BOW,None,SVM,Ove,0.9037927844588344,0.4642727638525187,0.26284330913963266,0.3196662818592427
BOW,None,RF,Ove,0.8582793709528215,0.32590781644892947,0.5654835403725307,0.39878716127184377
BOW,None,ADA,Ove,0.8384828862164663,0.29456991464396615,0.5196590530532659,0.3605384630144695
