vectorizer,FS,classifier,resampling,accuracy,precision,recall,f1
TF_IDF,None,logR,None,0.9281486961346402,0.6479217426732929,0.4103027324054924,0.4885864796913653
TF_IDF,None,DT,None,0.9048455705566858,0.43557291498844963,0.37687571107909934,0.4002439156024365
TF_IDF,None,SVM,None,0.9189938968004439,0.5349927840807673,0.47136473365073533,0.4971565034464318
TF_IDF,None,RF,None,0.9191788422415388,0.5625846187084751,0.3619398188260086,0.4243154369479495
TF_IDF,None,ADA,None,0.910578879230627,0.4590048346047768,0.32365649270902086,0.3713918589725118
TF_IDF,None,logR,Und,0.8402071388940263,0.36026114053500535,0.6700589186800374,0.451167076851514
TF_IDF,None,DT,Und,0.7222119474754948,0.2448431118673014,0.5589473780596214,0.31730743145308793
TF_IDF,None,SVM,Und,0.8266136489735528,0.3335088284718865,0.6519299059132005,0.4256100471788948
TF_IDF,None,RF,Und,0.7548548178287405,0.30445054840837427,0.599892873585511,0.37733810372448
TF_IDF,None,ADA,Und,0.7200850749029036,0.23747518079421204,0.5434503359844656,0.3065430654422951
TF_IDF,None,logR,Ove,0.9054928796005178,0.47242239937007435,0.5598527205536119,0.5068324784317276
TF_IDF,None,DT,Ove,0.8882004808581468,0.3925615862943295,0.4683849224334949,0.42461885267251553
TF_IDF,None,SVM,Ove,0.9257444054004069,0.6959564252993505,0.3519379433832449,0.439364935909932
TF_IDF,None,RF,Ove,0.9200110967264656,0.6074472154082188,0.45344183683160544,0.49181187659711073
TF_IDF,None,ADA,Ove,0.9002219345293139,0.4248812779721904,0.47400765474880585,0.44389071442111894
