vectorizer,classifier,accuracy,precision,recall,f1
Transformer,BERT,0.9352451433857539,0.6483918890409331,0.5588210230199514,0.5732905301273407
Transformer,RoBERTa,0.9319148936170213,0.5475897810639082,0.5929252701055052,0.5677028567029455
